,generation,fitness
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,1376
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,32
17,1,0
18,1,0
19,1,0
20,1,0
21,1,0
22,1,1376
23,1,1376
24,1,0
25,2,1376
26,2,1376
27,2,1376
28,2,0
29,2,248
30,2,192
31,2,1376
32,2,248
33,2,256
34,2,264
35,2,0
36,2,1376
37,2,1304
38,2,0
39,2,0
40,2,256
41,2,1376
42,2,96
43,2,1376
44,2,272
45,2,1376
46,2,1376
47,2,1376
48,2,88
49,2,1376
50,3,1376
51,3,1376
52,3,0
53,3,248
54,3,328
55,3,1376
56,3,784
57,3,0
58,3,1376
59,3,0
60,3,32
61,3,0
62,3,328
63,3,0
64,3,248
65,3,1376
66,3,0
67,3,1376
68,3,256
69,3,0
70,3,0
71,3,1304
72,3,1376
73,3,0
74,3,0
75,4,1376
76,4,1376
77,4,1376
78,4,24
79,4,304
80,4,144
81,4,160
82,4,1376
83,4,1376
84,4,248
85,4,0
86,4,0
87,4,1448
88,4,248
89,4,1376
90,4,1464
91,4,256
92,4,248
93,4,256
94,4,248
95,4,728
96,4,784
97,4,1376
98,4,0
99,4,0
100,5,1464
101,5,1448
102,5,0
103,5,1376
104,5,248
105,5,64
106,5,1376
107,5,1376
108,5,1376
109,5,1376
110,5,0
111,5,1520
112,5,1376
113,5,1448
114,5,0
115,5,0
116,5,1464
117,5,248
118,5,1376
119,5,0
120,5,304
121,5,1376
122,5,1376
123,5,0
124,5,32
